TITLE,ZULU UTC TIME (Seconds),SIM TIME (Seconds),ZULU DAY OF YEAR (Number),ZULU DATE (Number),PLANE LATITUDE (Degrees),PLANE LONGITUDE (Degrees),PLANE PITCH DEGREES (Radians),PLANE BANK DEGREES (Radians),PLANE HEADING DEGREES TRUE (Radians),INCIDENCE ALPHA (Radians),INCIDENCE BETA (Radians),AIRSPEED TRUE (Meters per second),PLANE ALTITUDE (Feet),ELEVATOR DEFLECTION (Radians),RUDDER DEFLECTION (Radians),AILERON LEFT DEFLECTION (Radians),AILERON RIGHT DEFLECTION (Radians),AMBIENT WIND DIRECTION (Degrees),AMBIENT WIND VELOCITY (Knots),AMBIENT WIND X (Meters per second),AMBIENT WIND Y (Meters per second),AMBIENT WIND Z (Meters per second),VERTICAL SPEED (Feet per second),TURB ENG N1:1 (Percent),TURB ENG N1:2 (Percent),DEFINED WIND X (Meters per second),DEFINED WIND Y (Meters per second),DEFINED WIND Z (Meters per second),VELOCITY WORLD X (Meters per second),VELOCITY WORLD Y (Meters per second),VELOCITY WORLD Z (Meters per second)
PMDG 737-800NGX PMDG House Winglets,19:0:19,2963.47327784919025361887,150,2017/5/30,30.49934138524684357208,-86.51128618145651216764,-0.66622039721559356273,0.00000000000000000000,192.17779382975456314853,-0.56492798067795280126,0.00000000000000000000,0.00148567955604650783,94.89134420516421641878,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00003424700844334438,18.98923477178710683688,18.98923477178710683688,-0.00,-0.00,-0.00,-0.00031353751112562670,-0.00000706929200021448,-0.00145288477738564044,
PMDG 737-800NGX PMDG House Winglets,19:0:19,2963.55209122696760459803,150,2017/5/30,30.49934138443275699615,-86.51128618166006845058,-0.66627519881236063615,0.00000000000000000000,192.17779087670567150781,-0.59514944827243054792,0.00000000000000000000,0.00116356373324783230,94.89134358159411419820,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00003223506064387038,19.01925149647828305888,19.01925149647828305888,-0.00,-0.00,-0.00,-0.00024554135260143579,-0.00000160314348499874,-0.00113780254702411853,
PMDG 737-800NGX PMDG House Winglets,19:0:19,2963.65303642696744645946,150,2017/5/30,30.49934138343092726586,-86.51128618191057739750,-0.66634558177841307636,0.01267455316046953509,192.17780327420464914212,-0.43300509983374690925,0.00000000000000000000,0.00112298687324962590,94.89134259077678734684,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00003008421299455222,19.05691362313832470932,19.05691362313832470932,-0.00,-0.00,-0.00,-0.00023699713297390028,-0.00000507234952019699,-0.00109807011747758499,
PMDG 737-800NGX PMDG House Winglets,19:0:19,2963.72971762696761288680,150,2017/5/30,30.49934138265863481365,-86.51128618210368870223,-0.66637909239454717891,0.01076948741944882409,192.17780146813649366777,-0.22211875011941178970,0.00000000000000000000,0.00116690567125462739,94.89134070783755703360,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00002968084481835831,19.08500559818174480142,19.08500559818174480142,-0.00,-0.00,-0.00,-0.00024624612142581709,-0.00000944182135299501,-0.00114097095968633978,
PMDG 737-800NGX PMDG House Winglets,19:0:19,2963.81764252696757466765,150,2017/5/30,30.49934138163926178322,-86.51128618235858880325,-0.66636180347794293777,0.01179086698718661251,192.17778620941396638955,-0.18207756355512055846,0.00000000000000000000,0.00123254101749302523,94.89133731405435412398,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00003043212018383201,19.11681398950493715461,19.11681398950493715461,-0.00,-0.00,-0.00,-0.00026009503782361014,-0.00001022341201997927,-0.00120514656923390419,
PMDG 737-800NGX PMDG House Winglets,19:0:19,2963.92698232696739069070,150,2017/5/30,30.49934138045317055798,-86.51128618265515513031,-0.66638506881016346117,-0.01039309134419493137,192.17778495549686113009,-0.23014546149593179125,0.00000000000000000000,0.00136253475211560622,94.89133406571757234360,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00003035790541616734,19.15531530098131440809,19.15531530098131440809,-0.00,-0.00,-0.00,-0.00028747044301272276,-0.00001021631582113015,-0.00133229138778966061,
PMDG 737-800NGX PMDG House Winglets,19:0:19,2964.00946882696780448896,150,2017/5/30,30.49934137955379753748,-86.51128618287999927361,-0.66640737364701696510,-0.00884801045054242966,192.17779994383613484388,-0.33215171522873626619,0.00000000000000000000,0.00127530491186512735,94.89133198798199941848,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00002994172791659366,19.18371077022813508961,19.18371077022813508961,-0.00,-0.00,-0.00,-0.00026907561705366150,-0.00000733845768285794,-0.00124700286320725338,
PMDG 737-800NGX PMDG House Winglets,19:0:19,2964.08781272696796804667,150,2017/5/30,30.49934137874202377816,-86.51128618308294448980,-0.66644760773071942683,-0.00496574988771079050,192.17779777519129424945,-0.41192954097185446871,0.00000000000000000000,0.00113707928478510743,94.89133047220627759089,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00002913714524765965,19.21011611038861843781,19.21011611038861843781,-0.00,-0.00,-0.00,-0.00023992009521028575,-0.00000515470135187806,-0.00111183831059059315,
PMDG 737-800NGX PMDG House Winglets,19:0:20,2964.16324102696762565756,150,2017/5/30,30.49934137788485344345,-86.51128618329725838976,-0.66644798125669546529,-0.00491536151922975124,192.17779775505738371066,-0.34421068660960252306,0.00000000000000000000,0.00125205831395255093,94.89132867719375497018,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00002875300378946122,19.23521722772888509212,19.23521722772888509212,-0.00,-0.00,-0.00,-0.00026418445379631182,-0.00000696230321339653,-0.00122426441589235557,
PMDG 737-800NGX PMDG House Winglets,19:0:20,2964.24124822696785486187,150,2017/5/30,30.49934137697169589387,-86.51128618352555577076,-0.66644771445242689811,-0.00495140555692158684,192.17779776943876868245,-0.40813471487391717041,0.00000000000000000000,0.00125992835576956377,94.89132685072169692830,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00002835000123013742,19.26071983074447402373,19.26071983074447402373,-0.00,-0.00,-0.00,-0.00026584869758156316,-0.00000545017630069366,-0.00123197284776784856,
PMDG 737-800NGX PMDG House Winglets,19:0:20,2964.26766542696805117885,150,2017/5/30,30.49934137669399447645,-86.51128618359497579604,-0.66646436303878653362,-0.00152457035834050727,192.17779687202994409745,-0.49388490793877604101,0.00000000000000000000,0.00119491813316320280,94.89132650803412616369,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00002794690954033285,19.26919623865607178459,19.26919623865607178459,-0.00,-0.00,-0.00,-0.00025213751058878039,-0.00000327640085519054,-0.00116841161969524613,
