TITLE,ZULU UTC TIME (Seconds),SIM TIME (Seconds),ZULU DAY OF YEAR (Number),ZULU DATE (Number),PLANE LATITUDE (Degrees),PLANE LONGITUDE (Degrees),PLANE PITCH DEGREES (Radians),PLANE BANK DEGREES (Radians),PLANE HEADING DEGREES TRUE (Radians),INCIDENCE ALPHA (Radians),INCIDENCE BETA (Radians),AIRSPEED TRUE (Meters per second),PLANE ALTITUDE (Feet),ELEVATOR DEFLECTION (Radians),RUDDER DEFLECTION (Radians),AILERON LEFT DEFLECTION (Radians),AILERON RIGHT DEFLECTION (Radians),AMBIENT WIND DIRECTION (Degrees),AMBIENT WIND VELOCITY (Knots),AMBIENT WIND X (Meters per second),AMBIENT WIND Y (Meters per second),AMBIENT WIND Z (Meters per second),VERTICAL SPEED (Feet per second),TURB ENG N1:1 (Percent),TURB ENG N1:2 (Percent),DEFINED WIND X (Meters per second),DEFINED WIND Y (Meters per second),DEFINED WIND Z (Meters per second),VELOCITY WORLD X (Meters per second),VELOCITY WORLD Y (Meters per second),VELOCITY WORLD Z (Meters per second)
PMDG 737-800NGX PMDG House Winglets,19:1:41,3045.19544834919224740588,150,2017/5/30,30.45938624551700613097,-86.52121568301760135000,2.45309043946993510232,0.01161281507457823971,192.11163216899120698145,5.90358683837339359712,-0.00008302380613841765,106.51434222751184677236,818.47170252941702983662,0.74120243833199772610,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-17.31936454772949218750,98.38361559693683489058,98.38369565810054950816,-0.59,-0.13,-12.72,-22.43471790000654308983,-6.36851517062684635562,-104.54579190221329554333,
PMDG 737-800NGX PMDG House Winglets,19:1:41,3045.27500962696967690135,150,2017/5/30,30.45931134145052965323,-86.52123429872764859283,2.39308210404058829823,0.00961709736564788330,192.11163796148397864272,5.88284990940782126501,-0.00011642139638464980,106.68881971571171618507,816.79793018536781801231,0.74023820156713182605,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-17.60660743713378906250,98.38606358920866057360,98.38614365733151601034,-0.58,-0.13,-12.89,-22.46883922715995041131,-6.45548894019102981190,-104.70507204827131886304,
PMDG 737-800NGX PMDG House Winglets,19:1:41,3045.35198482696978317108,150,2017/5/30,30.45923876340017955044,-86.52125233628511580264,2.33533648225224599315,0.00000000000000000000,192.11163784966689149769,5.86331753623643070483,-0.00016680716979249088,106.85400304158520157216,815.15744962369194581697,0.73932380153537269329,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-17.88377571105957031250,98.38837791920857966943,98.38845799400485248043,-0.58,-0.12,-13.06,-22.50189885964137204155,-6.53688133074683808132,-104.85953165903866590725,
PMDG 737-800NGX PMDG House Winglets,19:1:41,3045.43421392696973271086,150,2017/5/30,30.45916111327592545877,-86.52127163431326550835,2.27398900283802429811,0.00710040960594606613,192.11164263178358169171,5.84248033971165892098,-0.00020166900244122823,107.03118871053051464060,813.38252454544556258043,0.73834126734145955062,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-18.17898750305175781250,98.39086064557588429125,98.39094072754296860239,-0.58,-0.12,-13.23,-22.53728743148423774301,-6.62392840553948047955,-105.02472422717212907628,
PMDG 737-800NGX PMDG House Winglets,19:1:41,3045.53579692696985148359,150,2017/5/30,30.45906501814570077613,-86.52129551628522108331,2.19868296442175070737,0.00000000000000000000,192.11164764259163462157,5.81664055621508691019,-0.00024517992239198201,107.25229400634756871113,811.15707708621198435139,0.73711279331821966121,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-18.54262733459472656250,98.39399311280760684895,98.39407320362082032261,-0.57,-0.12,-13.44,-22.58104247808582343282,-6.73234366183104704362,-105.22903089649412322615,
PMDG 737-800NGX PMDG House Winglets,19:1:41,3045.63412604919221848832,150,2017/5/30,30.45897182303818340188,-86.52131867744813575882,2.12797492404853993975,0.00767587985622789244,192.11163402144103429237,5.79509741431348324170,-0.00026155227384241274,107.45817854139531277724,808.96878112632941792981,1.47155572032160364415,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-18.89378738403320312500,98.40240703929202936706,98.40248714312163258455,-0.57,-0.12,-13.65,-22.62352955961701894694,-6.83517561274228491186,-105.42728354012464819789,
PMDG 737-800NGX PMDG House Winglets,19:1:41,3045.71131314919239230221,150,2017/5/30,30.45889854324729739687,-86.52133688911669651134,2.07625865184335856028,0.00000000000000000000,192.11161946669793110232,5.78153698123776305096,-0.00029962450244501400,107.62406049940312868785,807.22675380982457227219,1.46969207556307668305,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-19.16948699951171875000,98.40475562400530407103,98.40483573460910804442,-0.57,-0.12,-13.82,-22.65685581296949635544,-6.91906667033159994418,-105.58295019999802377697,
PMDG 737-800NGX PMDG House Winglets,19:1:41,3045.76159504919223763864,150,2017/5/30,30.45885074847816653687,-86.52134876714558231470,2.04388184712902454265,0.01281297999667775113,192.11162292100797799321,5.77383190576637961300,-0.00031863360385136873,107.73201093885624857194,806.08066233139925316209,1.46847528004106631094,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-19.34898757934570312500,98.40628520439815929421,98.40636531944466014465,-0.57,-0.12,-13.93,-22.67859636163860770353,-6.97318999248371174104,-105.68446760513027982142,
PMDG 737-800NGX PMDG House Winglets,19:1:41,3045.83981072696951741818,150,2017/5/30,30.45877631035367727463,-86.52136726655686516096,1.99499113884985135314,0.00000000000000000000,192.11161066573876610164,5.76258219722155295983,-0.00034610853295185596,107.90569559733064863849,804.27985250659617122437,1.46651267484413505571,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-19.62794494628906250000,98.40879577334187899851,98.40887589533953416776,-0.56,-0.12,-14.09,-22.71241335870060495949,-7.05967623038429348270,-105.84234749541857922850,
PMDG 737-800NGX PMDG House Winglets,19:1:41,3045.91769902696933058905,150,2017/5/30,30.45870207311585531329,-86.52138571598669614104,1.94758044720936562832,0.01314992838995404298,192.11159300757702794726,5.75256460775346045722,-0.00036219652747618698,108.07122431437166198975,802.46574533824093578005,1.46463777502404490782,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-19.90511894226074218750,98.41114601322344412893,98.41122614211573704779,-0.56,-0.12,-14.26,-22.74619029224980337744,-7.14055042312448140507,-106.00002932860483895183,
PMDG 737-800NGX PMDG House Winglets,19:1:41,3045.93992124919168418273,150,2017/5/30,30.45868087229689535889,-86.52139098479914025575,1.93422785406212049963,0.00000000000000000000,192.11160073890809485420,5.74997886533214064286,-0.00037150090106673851,108.11486134846997231307,801.94442032940673925623,1.46414289635491212671,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-19.98405075073242187500,98.41174620544269657785,98.41182633627045106550,-0.57,-0.12,-14.30,-22.75584892598081054871,-7.16151500180869415857,-106.04519146352076575113,
