TITLE,ZULU UTC TIME (Seconds),SIM TIME (Seconds),ZULU DAY OF YEAR (Number),ZULU DATE (Number),PLANE LATITUDE (Degrees),PLANE LONGITUDE (Degrees),PLANE PITCH DEGREES (Radians),PLANE BANK DEGREES (Radians),PLANE HEADING DEGREES TRUE (Radians),INCIDENCE ALPHA (Radians),INCIDENCE BETA (Radians),AIRSPEED TRUE (Meters per second),PLANE ALTITUDE (Feet),ELEVATOR DEFLECTION (Radians),RUDDER DEFLECTION (Radians),AILERON LEFT DEFLECTION (Radians),AILERON RIGHT DEFLECTION (Radians),AMBIENT WIND DIRECTION (Degrees),AMBIENT WIND VELOCITY (Meters per second),AMBIENT WIND X (Meters per second),AMBIENT WIND Y (Meters per second),AMBIENT WIND Z (Meters per second),VERTICAL SPEED (Feet per second),TURB ENG N1:1 (Percent),TURB ENG N1:2 (Percent),DEFINED WIND X (Meters per second),DEFINED WIND Y (Meters per second),DEFINED WIND Z (Meters per second),VELOCITY WORLD X (Meters per second),VELOCITY WORLD Y (Meters per second),VELOCITY WORLD Z (Meters per second)
PMDG 737-900NGX PMDG House,19:0:54,2998.29850737697279328131,150,2017/5/30,30.49730212876963975077,-86.51179379335219721270,-0.55749728424177802388,-0.00000000000000000000,192.10824456086581335512,-0.56114238235707036839,0.00049675036709435189,32.89444447411428740224,94.91380413565104845475,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,0.00124922045506536961,98.08214919300012013537,98.08356981613414404819,-0.03,-0.01,0.00,-6.90609170460122268054,0.00042112819437100041,-32.19003582962052689709,
PMDG 737-900NGX PMDG House,19:0:54,2998.37397067697293095989,150,2017/5/30,30.49728021355472762366,-86.51179924071189475399,-0.55754360146280412813,-0.00000000000000000000,192.10819361449031816846,-0.56119660063771070746,0.00052544385423677225,33.06716949462887811251,94.91390867115157448097,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,0.00125929235946387053,98.08154483538557144584,98.08293491525432727940,-0.03,-0.01,0.00,-6.94179797264693210224,0.00043039073376289387,-32.35654702224561418689,
PMDG 737-900NGX PMDG House,19:0:54,2998.47413127697291201912,150,2017/5/30,30.49725095148340514584,-86.51180651422204448409,-0.55760715423958073789,-0.01388666548043540790,192.10812560388910696929,-0.56128911856873819897,0.00054911105703843671,33.29145003424747528697,94.91405394813332918602,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,0.00127792649436742067,98.08070463897080060178,98.08205421287161129840,-0.03,-0.01,0.00,-6.98914230089567745097,0.00044803020952212782,-32.57733058765338540752,
PMDG 737-900NGX PMDG House,19:0:54,2998.54910727697279071435,150,2017/5/30,30.49722891696758964031,-86.51181199120057385699,-0.55765576597731669750,-0.01177382258834905847,192.10810711649904192200,-0.56133278063125335855,0.00054396691067433141,33.46029921637638437915,94.91416412837088500964,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,0.00129180576186627150,98.08010347733517164670,98.08142316609132649319,-0.03,-0.01,0.00,-7.02454309326859505092,0.00044634370234831967,-32.74242717998527751888,
PMDG 737-900NGX PMDG House,19:0:54,2998.62410157697240720154,150,2017/5/30,30.49720676569712196624,-86.51181749718408298122,-0.55770459115846748865,-0.00917406714000282286,192.10812118316377450356,-0.56136674466069924616,0.00050539588715562127,33.62902672661672909271,94.91427317121740259154,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,0.00130346720106899738,98.07951576708772734037,98.08080605054743728033,-0.03,-0.01,0.00,-7.05992180508818645279,0.00043936060573287837,-32.90741759411035616267,
PMDG 737-900NGX PMDG House,19:0:54,2998.69642239919448911678,150,2017/5/30,30.49718529868712479924,-86.51182283307188924937,-0.55775165543144566982,-0.00562705184901901839,192.10816789336169563285,-0.56139607739519847840,0.00045177654253342051,33.78730222913951308783,94.91437656938157374498,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,0.00131219183094799519,98.07892397668349815376,98.08018630629645429053,-0.03,-0.01,0.00,-7.09401088584883598998,0.00043212008765996422,-33.06638844800388454814,
PMDG 737-900NGX PMDG House,19:0:54,2998.79919677697262159199,150,2017/5/30,30.49715461426924534294,-86.51183046003929177914,-0.55781792961176179801,0.00000000000000000000,192.10823001324061465311,-0.56144217228927595364,0.00036815414392567816,34.02221139695906515499,94.91452038456277762180,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,0.00132057175505906343,98.07820270283757224661,98.07942682174230242254,-0.03,-0.01,0.00,-7.14240939998236790132,0.00042205033321541098,-33.29205855829610527508,
PMDG 737-900NGX PMDG House,19:0:54,2998.88118707697276477120,150,2017/5/30,30.49712998558295851126,-86.51183658177018287461,-0.55787011652669682427,0.00000000000000000000,192.10826020832868721300,-0.56148268168146442392,0.00031864113509177803,34.20562980651853024483,94.91463334540877383461,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,0.00132501404732465744,98.07762250615240873231,98.07881678421144044933,-0.03,-0.01,0.00,-7.18097940218241692634,0.00041761398352877421,-33.47189619884560585206,
PMDG 737-900NGX PMDG House,19:0:54,2998.96149177697270715726,150,2017/5/30,30.49710573467105589884,-86.51184260959047378492,-0.55792064925516660079,0.00000000000000000000,192.10829047820686810155,-0.56152698932893740924,0.00028151875923738317,34.38807876586911049799,94.91474314668077738588,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,0.00132825423497706652,98.07707018121810449429,98.07823569836766353092,-0.02,-0.01,0.00,-7.21872128924861744537,0.00041532684400301005,-33.64786415479612458057,
PMDG 737-900NGX PMDG House,19:0:54,2999.05868019919489597669,150,2017/5/30,30.49707621513245570100,-86.51184994697143793019,-0.55798110710242765364,0.01292317513708884404,192.10828773381422251987,-0.56158198041461115935,0.00025307818943989964,34.59952880859372470468,94.91487571887655860792,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,0.00133161188568919897,98.07635856523728534739,98.07748955564494508508,-0.03,-0.01,0.00,-7.26435124052442482423,0.00041653417364003630,-33.86060192313559724653,
